no_test,fakultas,pekerjaan_ayah,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,total_pendapatan,pendapatan_class,jumlah_tanggungan,kepemilikan_rumah,kendaraan,sekolah,listrik,Penghasilan perkapita,ukt
231710030025,4,11.0,1.0,1000000.0,0.0,5,1,4.0,2,2,3.0,2,1,1.0
231710030020,2,9.0,5.0,6000000.0,5340600.0,8,8,2.0,7,6,4.0,4,8,8.0
231710030017,10,9.0,1.0,8000000.0,0.0,8,8,4.0,7,6,3.0,4,8,8.0
231710030013,7,5.0,5.0,4759000.0,4970700.0,8,8,4.0,5,6,2.0,2,8,7.0
231710021465,4,5.0,5.0,5500000.0,4500000.0,8,8,3.0,5,6,4.0,2,8,8.0
231710021445,9,9.0,1.0,3000000.0,0.0,8,2,5.0,3,3,2.0,2,2,4.0
231710021430,2,3.0,1.0,2000000.0,0.0,8,5,2.0,1,3,4.0,2,5,2.0
231710021427,7,11.0,5.0,1500000.0,4316500.0,8,8,4.0,4,3,3.0,1,8,5.0
231710021423,1,5.0,5.0,5834600.0,5579800.0,8,8,4.0,7,6,4.0,5,8,7.0
231710021422,2,7.0,5.0,1500000.0,3616500.0,8,5,5.0,4,3,1.0,2,5,6.0
231710021413,9,11.0,1.0,1000000.0,0.0,5,5,1.0,1,1,4.0,1,5,3.0
231710021403,2,13.0,1.0,0.0,0.0,1,1,3.0,4,3,2.0,2,1,3.0
231710021402,8,9.0,1.0,2000000.0,0.0,8,2,4.0,3,1,2.0,1,2,6.0
231710021374,4,3.0,3.0,500000.0,500000.0,5,5,1.0,2,4,5.0,2,5,2.0
231710021372,8,1.0,6.0,0.0,3000000.0,8,2,5.0,1,4,4.0,2,2,3.0
231710021366,4,14.0,1.0,1500000.0,0.0,8,2,3.0,1,3,4.0,1,2,1.0
231710021363,8,11.0,1.0,2000000.0,0.0,8,1,5.0,7,3,4.0,3,1,4.0
231710021357,3,9.0,1.0,3500000.0,0.0,8,4,4.0,5,3,1.0,1,4,5.0
231710021352,3,11.0,1.0,4000000.0,0.0,8,7,3.0,4,5,4.0,2,7,4.0
