no_test,fakultas,pekerjaan_ayah,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,total_pendapatan,pendapatan_class,jumlah_tanggungan,kepemilikan_rumah,kendaraan,sekolah,listrik,penghasilan,pajak_mobil,pajak_motor,ukt
423114522,8,11.0,1.0,1350000,0,7,1,5,1,3,0,2,1,0.0,156000,1
423194422,8,7.0,14.0,3000000,0,8,2,5,2,3,125000,1,2,0.0,300000,4
423174628,9,3.0,3.0,1000000,500000,8,1,4,2,4,0,1,8,0.0,200000,4
423163378,6,6.0,1.0,3289410,0,8,4,4,4,4,200000,3,4,0.0,209500,3
423432787,9,3.0,3.0,1500000,1000000,8,2,4,3,3,50000,1,8,0.0,200000,6
423301310,6,14.0,1.0,2500000,0,8,2,4,4,3,50000,3,2,3000000.0,242000,2
423182153,9,11.0,1.0,4973573,0,8,8,3,1,4,30000,3,8,0.0,342000,6
423229891,5,12.0,1.0,4000000,0,8,5,4,6,3,150000,2,5,0.0,180000,8
423568457,5,9.0,1.0,20000000,0,8,8,3,6,7,1375000,3,8,5000000.0,700000,8
423562108,5,9.0,1.0,4000000,0,8,3,6,8,6,250000,5,3,2600000.0,0,8
423479137,5,6.0,1.0,4125455,0,8,5,4,5,3,300000,2,5,0.0,200000,7
423211249,5,6.0,1.0,3740233,0,8,6,3,3,4,50000,2,6,0.0,324000,7
423118997,5,13.0,9.0,0,5000000,8,8,3,3,3,558000,2,8,0.0,120000,7
423320202,5,9.0,5.0,3000000,4700000,8,8,1,4,4,0,3,8,0.0,300000,8
423514918,5,6.0,1.0,7117734,0,8,8,4,3,3,0,3,8,0.0,295000,8
423398598,5,5.0,5.0,3500000,3000000,8,8,2,1,3,30000,2,8,3000000.0,450000,8
423536545,5,3.0,3.0,1500000,500000,8,1,5,5,4,0,1,1,0.0,138000,5
